slug,name,type,service_category,region,tags,phone,website,email_1,address,street,postal_code,latitude,longitude,rating,reviews,working_hours,about,photo,facebook,instagram,place_id
the-clover-suites-pte-ltd,The Clover Suites Pte Ltd,Pregnancy care center,,East,24-hour,+65 9722 5076,http://www.thecloversuites.com/,sales@thecloversuites.com,"697 E Coast Rd, #02-01, Singapore 459060","697 E Coast Rd, #02-01",459060,1.3120331,103.9221254,4.8,68,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}","{""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxh0nBRteQtJViF8mkOE2drCacp12BS933in7_zYWO37cZ3F9L8Uk_Fn1Ny19K2v9BI_2claMcvBJD3IJM4tSi8YuQbZHpnbp6ASqE0zeLEijWBPQI4I5br9ss28bcoQ9dEGAMJw=w800-h500-k-no,,,ChIJk7ITn5cj2jERxyE4qcfk46w
my-queen-prenatal-and-postpartum-wellness-centre,My Queen | Prenatal and Postpartum Wellness Centre,Pregnancy care center,Postnatal Services,Central,"24-hour,wheelchair-accessible",+65 8028 8186,https://www.myqueen.asia/,dpo@acpcomputer.edu.sg,"23 Bch Vw Rd, Palawan Ridge Sentosa Island, 098679","23 Bch Vw Rd, Palawan Ridge Sentosa Island",98679,1.2531961,103.8194919,4.9,96,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Nursing room"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFU17ET1q7xXc7ML95ltqurl9yRjHItxabVkcq7ZMYBB6LDlTqcH3oj8mD5XsbuUG1zpWWFSK4DROvKRl89WnmJOo-nmHKSijYB4MBSKhKNtunEh697sh1MviI8SPPIlayKehfD=w800-h500-k-no,,,ChIJb4laPB4b2jERtSpaMwEoXYk
ratu-confinement-sgs-1st-muslim-nanny-agency,Ratu Confinement SG’s 1st Muslim Nanny Agency,Employment consultant,Nanny Agency,East,"24-hour,halal-friendly,wheelchair-accessible",+65 8930 7824,http://ratu.sg/,,"10 Ubi Cres, #06-26 Ubi Techpark, Singapore 408564","10 Ubi Cres, #06-26 Ubi Techpark",408564,1.3264632,103.896365,5.0,379,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIRFtCdtdN6J8pf2DFKbAnujPOci9u60sZOmQN5Sb1Ko_UK_fcAivWmMYrsEhc8BikbyM-AyOBv2lGGyd5tziBL0v2YS_lk1MbhjtWI2uOhLY9AOP9O354KCPAsVw5mYwm-kvIC7fK-94=w800-h500-k-no,,https://www.instagram.com/ratuconfinement.sg,ChIJZUaSeGMZ2jERfclBbsADT0M
rejoy-suites,Rejoy Suites (Confinement Centre),Wellness hotel,,Central,,+65 8019 2222,https://rejoy.sg/,info@rejoy.com.sg,"3 Croucher Rd, Singapore 359566",3 Croucher Rd,359566,1.3448691,103.8653108,4.2,27,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHEpImhLMl-g7ROCJ12XWh8zputqwoP5FXSNZvJlUd0DYzDVV9HIj2z3IOWT1YgessO_2KqwpGjES9RQw-2BiRG4k8oEoAgkFaYZnzEvAZWzmEV8zblGYJ3SkW9Tsqg4t_uxj-PBFu0GFjs=w800-h500-k-no,https://www.facebook.com/rejoysuites,https://www.instagram.com/rejoysuites,ChIJbSo6nYAX2jERDvfQRq3mEUQ
shan-confinement,Shan Confinement,Shopping mall,,North-East,,+65 8891 8909,https://shangourmet.com/,hello@shangourmet.com,"183 Jln Pelikat, B1-19 The Promenade, Singapore 537643","183 Jln Pelikat, B1-19 The Promenade",537643,1.3554603,103.8881644,4.4,21,"{""Monday"": [""9am-6pm""], ""Tuesday"": [""9am-6pm""], ""Wednesday"": [""9am-6pm""], ""Thursday"": [""9am-6pm""], ""Friday"": [""9am-6pm""], ""Saturday"": [""9am-6pm""], ""Sunday"": [""9am-6pm""]}",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEV21_XPmmSEF_cE5hKcmwHvjKqYDrp12n-wRPefCfLT9vjHLLz_Zs7p-gYGpiSmbqikRHk88muhDjMPvjVYPNs8lD-7dbGSjnAlE8WYXxK9oaAJbhIZnZldaVRzxwL9ZK3jTBtAQ=w800-h500-k-no,https://www.facebook.com/shanconfinement/,https://www.instagram.com/shanconfinement,ChIJo0C31Y4X2jERdOBY0SnA4Fc
nannysos-confinement-nanny-agency,NannySOS Confinement Nanny Agency,Child care agency,Nanny Agency,East,,+65 6817 2479,https://www.nannysos.com.sg/,admin@nannysos.com.sg,"750 Chai Chee Rd, #01-07A, Singapore 469000","750 Chai Chee Rd, #01-07A",469000,1.3236275,103.9221943,4.7,114,"{""Monday"": [""9am-7pm""], ""Tuesday"": [""9am-7pm""], ""Wednesday"": [""9am-7pm""], ""Thursday"": [""9am-7pm""], ""Friday"": [""9am-7pm""], ""Saturday"": [""9am-7pm""], ""Sunday"": [""9am-7pm""]}",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvVgKhhoZMo4fTcCXQYX692mVj3yMw8WIiFKd77SHMl3vGEvwphWwWuv038gEzzhGO6Uj1k7O41WXr2tYAYRpOLEuAIfRohzwTGUeb67zHymkagw4O8kR8ki7lr1tb-502ONo-UQ=w800-h500-k-no,,,ChIJHwECoQUQ2jERHlyUWtbX3hs
xpress-confinement-nanny,Xpress Confinement Nanny,Child care agency,Nanny Agency,East,,+65 8066 0396,https://xpressconfinement.com.sg/,hello@xpressconfinement.com.sg,"865 Mountbatten Rd, #01-63 Katong Shopping Centre, Singapore 437844","865 Mountbatten Rd, #01-63 Katong Shopping Centre",437844,1.3037611,103.9008959,4.8,102,"{""Monday"": [""10am-7pm""], ""Tuesday"": [""10am-7pm""], ""Wednesday"": [""10am-7pm""], ""Thursday"": [""10am-7pm""], ""Friday"": [""10am-7pm""], ""Saturday"": [""10am-7pm""], ""Sunday"": [""10am-7pm""]}",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHzoPNxd0fswg_fuY0imaWhc37CvzvJeDrNH5Y41SUAK50NLFrxfH7vnzNN85ompxaKlU01EnpPzH7NMLdSGA-6jubkP0-aGKKfkzuqA_mjnTbNwNFJTGuZMOzLPKU_RhyWFziIMFRJpxNu=w800-h500-k-no,,,ChIJ4dcelygZ2jER7euphUdqdjM
elitemom-me-confinement-nanny-pte-ltd,EliteMom & Me Confinement Nanny Pte. Ltd. 坤禧陪月,Child care agency,Nanny Agency,North-East,,+65 9028 6288,https://www.elitemomandme.com.sg/,enquiry@elitemomandme.com.sg,"22 Sin Ming Ln, Singapore 573969",22 Sin Ming Ln,573969,1.3590493,103.8339116,5.0,14,"{""Monday"": [""9am-7pm""], ""Tuesday"": [""9am-7pm""], ""Wednesday"": [""9am-7pm""], ""Thursday"": [""9am-7pm""], ""Friday"": [""9am-7pm""], ""Saturday"": [""9am-12pm""], ""Sunday"": [""Closed""]}",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEicnwIk-PJCboI1eAxdsMQW6ImBfDjv0zDLxxvdh76BzxiXPjHD-zzGLnd9MY9Q3cxMp8M6Z-HYIA03mLK7DlYokxcVAZNypFX6jNETJ3s4rjbq7Nx1t9b3E8zE_ptA4Ujib6doCO_fJhc=w800-h500-k-no,,https://www.instagram.com/elitemomandme,ChIJeWQIu2tWZCMRtwxFI4yEW98
compass-one,Compass One,Shopping mall,,North-East,wheelchair-accessible,+65 6819 0733,http://www.compassone.sg/,dpo@compassone.sg,"1 Sengkang Square, Singapore 545078",1 Sengkang Square,545078,1.3920064,103.89505,4.2,10202,"{""Monday"": [""10am-10pm""], ""Tuesday"": [""10am-10pm""], ""Wednesday"": [""10am-10pm""], ""Thursday"": [""10am-10pm""], ""Friday"": [""10am-10pm""], ""Saturday"": [""10am-10pm""], ""Sunday"": [""10am-10pm""]}","{""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Arcade games"": true}, ""Amenities"": {""Toilet"": true, ""Wi-Fi"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Has changing table(s)"": true, ""Nursing room"": true, ""Playground"": true}, ""Parking"": {""Free parking lot"": true, ""Paid multi-storey car park"": true, ""Paid parking lot"": true, ""Paid street parking"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAElI_OIKEB1GAkBS4gARb8LgUrXgQZZAitSRUmvtLeCTBahvOq9JdbJlQlI8i0r6pRrnLvl2BUAZdn7BZN2LeIyrulhfq1gnb7r3GoTU-pCPRqVGKyajTdfdc16-6SFO-0qKGj7kA=w800-h500-k-no,https://www.facebook.com/1127794003926968,,ChIJy5hMcg8X2jERZ88iA4l4aBY
tian-wei-signature,Tian Wei Signature,Caterer,Confinement Food,North,,+65 6727 5599,http://www.tianweisignature.com/,sales@tianweisignature.com,"81 Tagore Ln, #01-11 TAG A, Singapore 787502","81 Tagore Ln, #01-11 TAG A",787502,1.3872462,103.8296223,4.7,1628,"{""Monday"": [""9am-7pm""], ""Tuesday"": [""9am-7pm""], ""Wednesday"": [""9am-7pm""], ""Thursday"": [""9am-7pm""], ""Friday"": [""9am-7pm""], ""Saturday"": [""10am-7pm""], ""Sunday"": [""10am-7pm""]}","{""Service options"": {""Delivery"": true, ""Takeaway"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzvnu77LzB0s5ww3T_cfPk8WKb8T7kHnc4w1Qh5pkliXhDuC9kJrf5GKQ-aDP37Ez1CCAV0sbABBfRbvts3a8SwwFGxBPe6GWctK4ASYxBU7K2JTusuzS56w8ubgsca7DnF7cr=w800-h500-k-no,https://www.facebook.com/tianweisignaturesg/about,https://www.instagram.com/tianweisignaturesg,ChIJO7b9v5Ua2jERSYkB2_JnK84
josian-services-confinement-nanny-agency,Josian Services - Confinement Nanny Agency,Child care agency,Nanny Agency,Central,24-hour,+65 9746 1883,http://www.confinementnanny.com/,jo@confinementnanny.com,"147A Selegie Rd, Singapore 188313",147A Selegie Rd,188313,1.3030204,103.8498537,3.0,2,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpY8tKJ7OwcqE0pY6dE-e--MNHwQNL5L5swP36abpCTeNVBofkhyMmY9ddJxW6T8zyR4-w1xrNrh5OOg8puFIdEOjVAt6EZBe6dS6Uvjb6BRdf9Mt40adv62d8IkknUU8deV0H=w800-h500-k-no,,,ChIJa7baHLwZ2jERy39_tTbaD7o
tsm-maid-confinement-nanny-agency-maid-and-confinement-nanny,TSM Maid & Confinement Nanny Agency | Maid and Confinement Nanny Service,Child care agency,Nanny Agency,East,,+65 6337 1793,http://www.tsmnanny.com/,inquiries@tsmnanny.com,"623 Aljunied Rd, Aljunied Industrial Complex, Singapore 389835","623 Aljunied Rd, Aljunied Industrial Complex",389835,1.324914,103.8793753,4.8,30,"{""Monday"": [""8am-5pm""], ""Tuesday"": [""8am-5pm""], ""Wednesday"": [""8am-5pm""], ""Thursday"": [""8am-5pm""], ""Friday"": [""8am-5pm""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE2U37r7U54E060Qh81xrDeGZ-OIQ7EvBmy7m2gZ6i8ydNOXEQSW3aZBR799SlLR_g8NAEKIZoPJPaX0CW_fWTtWxcAzqZ1B4TlG98kIC7VefFBFRJnMe1SmCWFfegIg-GNPOG32g=w800-h500-k-no,https://www.facebook.com/207207300029457,,ChIJVVUVBZwT2jERhqO_CDniMhQ
postnatal-massage-singapore-pte-ltd,Postnatal Massage Singapore Pte Ltd,Massage therapist,Postnatal Services,North,,+65 6417 9690,https://www.pnsingapore.com/,admin@pnsingapore.com,"7 Gambas Cres, #09-09 ARK@Gambas, Singapore 757087","7 Gambas Cres, #09-09 ARK@Gambas",757087,1.4451027,103.8128413,4.9,2832,"{""Monday"": [""9am-6pm""], ""Tuesday"": [""9am-6pm""], ""Wednesday"": [""9am-6pm""], ""Thursday"": [""9am-6pm""], ""Friday"": [""9am-6pm""], ""Saturday"": [""9am-6pm""], ""Sunday"": [""9am-6pm""]}","{""Service options"": {""On-site services"": true}, ""Planning"": {""Appointment required"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFMXTpJghvcuc1MntTYYYcTfWsT2qmvCg-gmiwrT5x9zC2ikH-YBPKGnHfTohK5WWH_wmQGm35uS3cybRL5KlGLhAZNlsfSpwB5H_DtGLrQQI4TeZhxE509nwNsgK93FA5GKxgn=w800-h500-k-no,https://www.facebook.com/postnatalmassagesingapore/,https://www.instagram.com/pnsg_postnatalmassagesingapore,ChIJ66upz6wT2jER-7k-8v4s2wM
nouriche,NouRiche,Caterer,Confinement Food,North,,+65 6980 5707,https://www.nouriche.sg/,sales@richfoodsg.com,"8A Admiralty St, #02-01 (Unit B FoodXchange @ Admiralty, Singapore 757437","8A Admiralty St, #02-01 (Unit B FoodXchange @ Admiralty",757437,1.4629971,103.8142723,4.9,627,"{""Monday"": [""9am-6pm""], ""Tuesday"": [""9am-6pm""], ""Wednesday"": [""9am-6pm""], ""Thursday"": [""9am-6pm""], ""Friday"": [""9am-6pm""], ""Saturday"": [""9am-6pm""], ""Sunday"": [""9am-6pm""]}","{""Service options"": {""Delivery"": true, ""Takeaway"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2VspcEtbSrQBHSJUZh9HKvr_zWh6HBAMSPUJPVM1p-ar43q96gCCl84PNnXJ95My7HmAyMSaGQnLNjV8TEf7zAaUlFFeaM9UDaUqCkuZ7jRUgVL1Ck8D37h-qagpDmi7ZOvYy=w800-h500-k-no,https://www.facebook.com/NouRicheConfinementMeals,https://www.instagram.com/nouricheconfinementmeals,ChIJm2MKPpwT2jERQ3CTQuzp_7Y
mom-s-cooking-pte-ltd,Mom's Cooking Pte Ltd,Delivery Chinese restaurant,Confinement Food,North,wheelchair-accessible,+65 6755 4466,https://www.momscooking.com.sg/,enquiry@momscooking.com.sg,"15 Woodlands Lp., #02-16 Woodlands East Industrial Estate, Singapore 738322","15 Woodlands Lp., #02-16 Woodlands East Industrial Estate",738322,1.4486037,103.8087025,4.7,667,"{""Monday"": [""9am-5pm""], ""Tuesday"": [""9am-5pm""], ""Wednesday"": [""9am-5pm""], ""Thursday"": [""9am-5pm""], ""Friday"": [""9am-5pm""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}","{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqX34SGBi3LyI_Z0gQ3N6eSpbJMDJFn9_w9uIFP7TgCL7O_QCxosEzUq4s1SW8rMaDDH6sushji2d4LcXzjF5_vg_0uPtbTpDqTDv4rzolVJdza5ZpYWDTfbKwiX5Q-RPVpPn83V6cmU-O=w800-h500-k-no,https://www.facebook.com/MomscookingSingaporeFoodDeliveryService/,https://www.instagram.com/momscookingsingapore,ChIJaz6yHXAT2jERiCx3jP7yCX0
gladys-care-1987,Gladys Care 1987,Child care agency,Nanny Agency,Central,24-hour,+65 8318 1949,https://nanny.sg/,gladys0854@gmail.com,"Bukit Merah Vw, Singapore 150129",Bukit Merah Vw,150129,1.2835496,103.8239931,4.5,79,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGO0ovzQkBC77JMm4kSFSVqouMpKcLvZPwWRoGu25VzzBUKqruxEEBOHnqsiLlbmdc0WLLn6L1X9dfESvEBg_yrlQT7HBPwGppDVfBhBoaGULfFxvL4kNZLqLXHTOVsstQDCdg=w800-h500-k-no,,,ChIJt5yoIXMZ2jERwTPGvMYmWeQ
tingkat-delivery-best-healthy-tingkat-meals-in-singapore,Tingkat Delivery | Best Healthy Tingkat Meals in Singapore,Caterer,Confinement Food,North,,+65 6980 5608,http://www.tingkatdelivery.com/,tingkat@richfoodsg.com,"8A Admiralty St, #02-01 (Unit A FoodXchange @ Admiralty, Singapore 757437","8A Admiralty St, #02-01 (Unit A FoodXchange @ Admiralty",757437,1.4629971,103.8142723,4.0,270,"{""Monday"": [""9am-7pm""], ""Tuesday"": [""9am-7pm""], ""Wednesday"": [""9am-7pm""], ""Thursday"": [""9am-7pm""], ""Friday"": [""9am-7pm""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}","{""Service options"": {""Delivery"": true, ""Takeaway"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1zByqsTN6psRlpLoqM-JJxRz-BtLJitsGes0eY8RGFSA7FoUPsLzRvRLgsKZSv0Acgl3sHxKWVWZXI1eKw6YdD4GmHqyFDgDPqevnJv9BU1uUBVnbwET4dWs_osnnFtOnKYkw=w800-h500-k-no,https://www.facebook.com/legal/,https://www.instagram.com/Tingkat.RichFood,ChIJAQAAAHET2jERnwrE68Nmx5k
mama-j-s-confinement-food,Mama J's Confinement Food,Caterer,Confinement Food,North-East,,+65 9855 4993,http://www.confinementfood.sg/,hello@confinementfood.sg,"Smart City Kitchens: Kitchen 20, 59, Jln Pemimpin, #01-03 & #01-04, 577218","Smart City Kitchens: Kitchen 20, 59, Jln Pemimpin, #01-03 & #01-04",577218,1.3510818,103.8425524,4.8,393,"{""Monday"": [""8am-3pm""], ""Tuesday"": [""8am-3pm""], ""Wednesday"": [""8am-3pm""], ""Thursday"": [""8am-3pm""], ""Friday"": [""8am-3pm""], ""Saturday"": [""8am-3pm""], ""Sunday"": [""8am-3pm""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Delivery"": true, ""Takeaway"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKsQFn1qPRRh8u2JVVl6WqKNcg0tXx8yfMsxyy11ANvz2wxFL86EyJnhwZX8Gw7lHRql_VJu3NARIanWKXfuNYmmklYXb5_2Uie0T1UP6hXE5dtOHZdkX43e61VwmjUsWyxVb-oQ=w800-h500-k-no,https://www.facebook.com/confinementfoodsg/,https://www.instagram.com/confinementfoodsg,ChIJcdrL4TwV2jERVBfcQOn24PE
baoma-pre-postnatal-care,BaoMa - Pre & Postnatal Care,Massage spa,Postnatal Services,Central,,+65 9017 3199,https://baoma.com.sg/,info@baoma.com,"3 Croucher Rd, Rejoy Confinement Centre, Singapore 359566","3 Croucher Rd, Rejoy Confinement Centre",359566,1.3448691,103.8653108,4.9,218,"{""Monday"": [""10am-9pm""], ""Tuesday"": [""10am-9pm""], ""Wednesday"": [""10am-9pm""], ""Thursday"": [""10am-9pm""], ""Friday"": [""10am-9pm""], ""Saturday"": [""10am-9pm""], ""Sunday"": [""10am-9pm""]}","{""Service options"": {""On-site services"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFl7pLy88LSGHKkKIfRhftftw54D5f-eaHDZG_jRcHz-lf_xvo_ENkjHENI2TdyZcZ2IhNwI7bpkybP65PcuTo_u4yhlXMXP_kXw072xNM6eHicwHyuqKvI-UlkX-DMMrJntfDs_A=w800-h500-k-no,,,ChIJsfn190IZ2jERi83J7DKrQik
chong-hoe-healthcare-tcm-bukit-timah,Chong Hoe Healthcare TCM @Bukit Timah,Chinese Physician Clinic,Postnatal Services,West,wheelchair-accessible,+65 8883 2363,https://www.chonghoehealthcare.com/,chonghoehealthcare@gmail.com,"144 Upper Bukit Timah Rd, #02-14, Singapore 588177","144 Upper Bukit Timah Rd, #02-14",588177,1.3423741,103.7762593,5.0,95,"{""Monday"": [""10am-7pm""], ""Tuesday"": [""9am-9pm""], ""Wednesday"": [""9am-9:30pm""], ""Thursday"": [""9am-9pm""], ""Friday"": [""Closed""], ""Saturday"": [""9am-7pm""], ""Sunday"": [""9am-7pm""]}","{""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFz7wLORf6cw8-8DKg1T3OEAqRyJZk5TOVo4q6NjS2GdzgWfnlSNW9TsF_zQ3JoP-jn6_42otk076vZ99ZzffRiKxw7Ib_LlJoMmDgHspOSNnxjeENInZzgolwogGIrO6A9SA2A=w800-h500-k-no,http://www.facebook.com/chonghoehealthcare,,ChIJZex8wg0R2jERCKHRTbULeSY
ukashah-confinement-meals,Ukashah Confinement Meals,Food producer,Confinement Food,West,,+65 9623 9036,https://ukashahconfinement.com/,enquiry@ukashahconfinement.com,"1 W Coast Dr, #01-101, Singapore 128020","1 W Coast Dr, #01-101",128020,1.3164853,103.7573965,4.5,16,"{""Monday"": [""9am-12pm""], ""Tuesday"": [""9am-12pm""], ""Wednesday"": [""9am-12pm""], ""Thursday"": [""9am-12pm""], ""Friday"": [""9am-12pm""], ""Saturday"": [""9am-12pm""], ""Sunday"": [""Closed""]}","{""Service options"": {""Delivery"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvO8rAkzc06Eo7mASIcw_a_MYjR5duVRKB6m7C8zpg0XIot1DNm7TbSsy7jlXLyF2NPDS6UiWqnjk6m8-2KzUZJKRZ2eHCvvSOgcs9YZrWxGUkbeSXVgbRMPKIVSTrMgAMEcdr=w800-h500-k-no,,https://www.instagram.com/ukashah_confinement,ChIJ2bIN_2ob2jERLK_diuIrET0
beloved-bumps-singapore,Beloved Bumps Singapore,Pregnancy care center,,Central,wheelchair-accessible,+65 8298 1375,https://belovedbumps.sg/,belovedbumps@gmail.com,"237 Alexandra Rd, #04-10, Singapore 159929","237 Alexandra Rd, #04-10",159929,1.2911862,103.8137728,5.0,285,"{""Monday"": [""9am-5pm""], ""Tuesday"": [""9am-5pm""], ""Wednesday"": [""9am-5pm""], ""Thursday"": [""9am-5pm""], ""Friday"": [""9am-5pm""], ""Saturday"": [""9am-12pm""], ""Sunday"": [""Closed""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}, ""Children"": {""Nursing room"": true}, ""Parking"": {""Paid multi-storey car park"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhLRjtLnX1Et6LKLngUXvWG4-FrrR1PuAVniEG-XSEFsKjHL6gqm7GPd6aFEpjejKQWLLjJ9JqNrw-HmWHZrRhCR9pV2dFrOCSCietq8YMpZboowhb1Tv6BYY-kitHKj9UNSj1l55OJ6sR=w800-h500-k-no,https://www.facebook.com/belovedbumpssg/,https://www.instagram.com/belovedbumps,ChIJq6rqvqAZ2jER9FvuY1rbvek
nanny-moon,Nanny Moon,Child care agency,Nanny Agency,Central,,+65 3129 5393,https://nannymoon.sg/,sales@nannymoon.sg,"79 Anson Rd, Singapore 079906",79 Anson Rd,79906,1.2742752,103.8456739,4.7,167,"{""Monday"": [""10am-7pm""], ""Tuesday"": [""10am-7pm""], ""Wednesday"": [""10am-7pm""], ""Thursday"": [""10am-7pm""], ""Friday"": [""10am-7pm""], ""Saturday"": [""10am-6:30pm""], ""Sunday"": [""Closed""]}",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxbMqGJ9fxTXdhW1mQvQRhpH1yA4QMDK7ZveFhmunNgLGzz7AMrnGsByWNrEQqS9_TUvqyc6psxGynXaz7yT3olruAvrvmpOsbXB45qepfKMhClCMbZouCOygVav7XpxnkG24Yoxs0Yj8U=w800-h500-k-no,https://www.facebook.com/Nannymoonsg,https://www.instagram.com/nannymoonsg,ChIJVVVFuhQZ2jER3RcdXeIa_Vk
madam-partum-by-chien-chi-tow-tcm-clinic,Madam Partum by Chien Chi Tow TCM Clinic,Chinese Physician Clinic,Postnatal Services,East,wheelchair-accessible,+65 6663 3933,http://www.madampartum.com/,enquiry@madampartum.com,"192-196 Tanjong Katong Rd, Singapore 436995",192-196 Tanjong Katong Rd,436995,1.307973,103.894998,4.7,406,"{""Monday"": [""10am-10pm""], ""Tuesday"": [""10am-10pm""], ""Wednesday"": [""10am-10pm""], ""Thursday"": [""10am-10pm""], ""Friday"": [""10am-10pm""], ""Saturday"": [""10am-6pm""], ""Sunday"": [""10am-6pm""]}","{""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaIGWaCdnVWEfBJhWfMPMO6TYGIWjttc7NVEDIU8W5Mz1_sSp-H_-jp6brIzAsVcGVlqNuDq3diHr4-uiyDs1OyT-Y8VmVG2PGV63tLn4tgAvsbebKcp6OMVKtgaC4cbEcjBQh=w800-h500-k-no,http://www.facebook.com/madampartum,,ChIJ5VuqzxQY2jERh9p6O0pfFDA
